County,Fiscal Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Grand Total,Difference 15-24
Anderson,,720,737,626,568,552,541,520,528,486,463,5741,257
Andrews,,247,193,204,193,211,220,211,193,207,158,2037,89
Angelina,,1376,1285,1271,1063,1014,1074,1078,1006,1338,1070,11575,306
Aransas,,476,394,361,248,329,337,362,374,385,238,3504,238
Archer,,69,72,103,100,75,76,79,67,90,58,789,11
Armstrong,,11,17,17,21,24,7,23,16,41,20,197,-9
Atascosa,,698,719,1038,813,759,781,817,765,804,653,7847,45
Austin,,267,237,278,226,220,206,247,224,194,220,2319,47
Bailey,,89,59,80,104,75,72,64,72,71,30,716,59
Bandera,,195,203,275,267,237,224,160,222,180,222,2185,-27
Bastrop,,1152,1135,1109,1191,1115,1026,905,1028,946,895,10502,257
Baylor,,73,76,71,56,58,67,74,50,58,46,629,27
Bee,,514,485,467,419,445,458,433,523,429,269,4442,245
Bell,,5271,5117,4994,4988,4936,4977,5497,5102,5492,4695,51069,576
Bexar,,23382,23451,25789,24218,21638,19872,21181,22218,21897,19998,223644,3384
Blanco,,103,92,61,75,62,58,43,66,66,60,686,43
Borden,,3,1,18,6,7,6,10,3,2,2,58,1
Bosque,,223,225,200,219,214,235,215,234,196,162,2123,61
Bowie,,1377,1274,1163,1058,1084,956,969,1080,947,949,10857,428
Brazoria,,2944,2814,3126,2756,2455,2396,2177,2668,2661,2218,26215,726
Brazos,,1713,1359,1639,1524,1643,1489,1853,1956,2086,1723,16985,-10
Brewster,,57,98,75,75,59,51,95,66,56,48,680,9
Briscoe,,19,13,3,12,21,9,9,9,1,7,103,12
Brooks,,185,187,184,195,173,164,128,140,143,128,1627,57
Brown,,599,671,591,671,592,629,562,617,573,601,6106,-2
Burleson,,203,218,258,230,237,162,187,216,207,168,2086,35
Burnet,,570,519,539,577,550,511,526,520,573,465,5350,105
Caldwell,,614,572,646,629,628,627,513,543,601,490,5863,124
Calhoun,,261,303,298,306,227,156,195,129,154,134,2163,127
Callahan,,207,239,223,255,206,174,179,236,207,203,2129,4
Cameron,,5973,5141,5313,5075,4571,3998,4273,4463,4509,3252,46568,2721
Camp,,201,213,138,205,135,127,138,141,116,117,1531,84
Carson,,41,48,89,86,45,48,57,42,69,47,572,-6
Cass,,365,472,355,344,352,363,456,348,290,338,3683,27
Castro,,42,81,51,50,52,55,72,69,55,45,572,-3
Chambers,,361,297,285,311,292,266,362,355,352,390,3271,-29
Cherokee,,744,786,749,733,753,752,803,815,780,592,7507,152
Childress,,84,82,107,61,90,80,85,92,95,57,833,27
Clay,,116,122,126,157,108,89,109,156,93,83,1159,33
Cochran,,58,34,38,25,19,16,52,23,29,36,330,22
Coke,,56,63,39,57,35,41,24,31,32,22,400,34
Coleman,,122,162,148,131,119,138,106,114,92,89,1221,33
Collin,,4779,4383,4420,4982,5030,4767,5310,5525,5262,4918,49376,-139
Collingsworth,,53,20,37,60,40,19,38,48,25,12,352,41
Colorado,,169,147,196,193,144,135,159,166,121,141,1571,28
Comal,,1284,1397,1605,1552,1280,1280,1344,1447,1442,1218,13849,66
Comanche,,146,195,215,187,171,163,191,191,207,159,1825,-13
Concho,,29,29,13,27,43,30,39,35,34,18,297,11
Cooke,,709,623,727,715,562,560,526,529,518,408,5877,301
Coryell,,1358,1205,1046,1277,1231,1185,1390,1269,1438,1065,12464,293
Cottle,,22,19,11,8,17,17,19,33,18,6,170,16
Crane,,43,26,21,22,28,34,34,25,38,24,295,19
Crockett,,60,67,46,25,37,39,44,54,40,17,429,43
Crosby,,128,140,144,97,102,77,72,78,70,81,989,47
Culberson,,16,46,32,27,22,32,23,50,26,20,294,-4
Dallam,,128,78,119,102,93,97,139,104,72,110,1042,18
Dallas,,23229,20009,25092,24409,22191,21452,20613,22912,22254,18604,220765,4625
Dawson,,177,266,221,205,199,147,176,207,162,137,1897,40
Deaf Smith,,274,287,231,212,264,212,264,247,247,180,2418,94
Delta,,54,78,81,49,51,55,48,59,50,61,586,-7
Denton,,5189,4461,4769,5450,4854,5135,5818,5854,5563,4252,51345,937
DeWitt,,280,332,326,260,189,190,186,215,217,265,2460,15
Dickens,,21,37,28,19,18,18,17,13,12,25,208,-4
Dimmit,,230,241,224,210,164,165,142,158,138,137,1809,93
Donley,,30,52,39,42,31,43,33,65,44,39,418,-9
Duval,,149,193,160,192,244,187,161,166,171,151,1774,-2
Eastland,,290,337,309,262,337,202,278,253,253,275,2796,15
Ector,,2389,2312,1772,1823,1965,1732,1989,2001,1878,1786,19647,603
Edwards,,26,9,35,38,18,11,21,25,27,13,223,13
El Paso,,7780,7954,8326,7262,7620,6772,6628,7530,7821,6254,73947,1526
Ellis,,1651,1516,1568,1523,1341,1235,1505,1466,1588,1484,14877,167
Erath,,380,406,455,423,434,387,450,504,411,331,4181,49
Falls,,237,243,221,211,225,232,178,155,201,185,2088,52
Fannin,,395,420,388,435,395,432,374,385,382,316,3922,79
Fayette,,238,186,196,188,189,194,175,236,212,217,2031,21
Fisher,,54,41,79,54,60,44,51,49,25,75,532,-21
Floyd,,77,75,101,93,66,42,68,64,43,82,711,-5
Foard,,11,19,12,14,14,14,7,13,3,7,114,4
Fort Bend,,3426,3821,4060,4087,3576,3315,3336,4178,4008,3878,37685,-452
Franklin,,109,129,122,97,82,104,110,98,99,93,1043,16
Freestone,,249,201,182,162,194,157,184,218,216,195,1958,54
Frio,,414,345,337,317,278,273,297,320,291,272,3144,142
Gaines,,158,178,169,166,153,144,181,139,122,164,1574,-6
Galveston,,3402,3456,3789,3324,2978,2659,2714,2912,2389,2266,29889,1136
Garza,,58,43,50,59,97,51,69,73,53,58,611,0
Gillespie,,196,167,195,212,162,157,173,142,160,189,1753,7
