Fiscal Year,County,Region,Confirmed Victims,Victims
2024,Armstrong,1-Lubbock,Not Confirmed,17
2024,Armstrong,1-Lubbock,Confirmed Victim,3
2024,Bailey,1-Lubbock,Not Confirmed,21
2024,Bailey,1-Lubbock,Confirmed Victim,9
2024,Briscoe,1-Lubbock,Not Confirmed,5
2024,Briscoe,1-Lubbock,Confirmed Victim,2
2024,Carson,1-Lubbock,Not Confirmed,36
2024,Carson,1-Lubbock,Confirmed Victim,11
2024,Castro,1-Lubbock,Not Confirmed,24
2024,Castro,1-Lubbock,Confirmed Victim,21
2024,Childress,1-Lubbock,Not Confirmed,44
2024,Childress,1-Lubbock,Confirmed Victim,13
2024,Cochran,1-Lubbock,Not Confirmed,30
2024,Cochran,1-Lubbock,Confirmed Victim,6
2024,Collingsworth,1-Lubbock,Not Confirmed,10
2024,Collingsworth,1-Lubbock,Confirmed Victim,2
2024,Crosby,1-Lubbock,Not Confirmed,58
2024,Crosby,1-Lubbock,Confirmed Victim,23
2024,Dallam,1-Lubbock,Not Confirmed,77
2024,Dallam,1-Lubbock,Confirmed Victim,33
2024,Deaf Smith,1-Lubbock,Not Confirmed,158
2024,Deaf Smith,1-Lubbock,Confirmed Victim,22
2024,Dickens,1-Lubbock,Not Confirmed,18
2024,Dickens,1-Lubbock,Confirmed Victim,7
2024,Donley,1-Lubbock,Not Confirmed,33
2024,Donley,1-Lubbock,Confirmed Victim,6
2024,Floyd,1-Lubbock,Not Confirmed,58
2024,Floyd,1-Lubbock,Confirmed Victim,24
2024,Garza,1-Lubbock,Not Confirmed,35
2024,Garza,1-Lubbock,Confirmed Victim,23
2024,Gray,1-Lubbock,Not Confirmed,209
2024,Gray,1-Lubbock,Confirmed Victim,66
2024,Hale,1-Lubbock,Not Confirmed,219
2024,Hale,1-Lubbock,Confirmed Victim,88
2024,Hall,1-Lubbock,Not Confirmed,13
2024,Hall,1-Lubbock,Confirmed Victim,2
2024,Hansford,1-Lubbock,Not Confirmed,29
2024,Hansford,1-Lubbock,Confirmed Victim,3
2024,Hartley,1-Lubbock,Not Confirmed,22
2024,Hartley,1-Lubbock,Confirmed Victim,9
2024,Hemphill,1-Lubbock,Not Confirmed,8
2024,Hemphill,1-Lubbock,Confirmed Victim,2
2024,Hockley,1-Lubbock,Not Confirmed,169
2024,Hockley,1-Lubbock,Confirmed Victim,49
2024,Hutchinson,1-Lubbock,Not Confirmed,215
2024,Hutchinson,1-Lubbock,Confirmed Victim,64
2024,Lamb,1-Lubbock,Not Confirmed,93
2024,Lamb,1-Lubbock,Confirmed Victim,40
2024,Lipscomb,1-Lubbock,Not Confirmed,13
